"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.304193230E-1,6.035912782E-2,1.354984522E0,9.697276115E0,9.791669436E0
5.327999480E-1,1.082411110E-1,1.364560843E0,9.692488670E0,9.788670955E0
5.351818230E-1,1.226056963E-1,1.350196242E0,9.692488670E0,9.786848250E0
5.375639060E-1,8.430013061E-2,1.354984522E0,9.730792999E0,9.825040558E0
5.399427600E-1,4.120634496E-2,1.374137282E0,9.726005554E0,9.822684728E0
5.423284890E-1,6.514734030E-2,1.378925562E0,9.668547630E0,9.766600901E0
5.447321870E-1,9.866471589E-2,1.369349122E0,9.654182434E0,9.751312230E0
5.470903120E-1,9.387651086E-2,1.359772801E0,9.682910919E0,9.778371988E0
5.494746350E-1,1.130293161E-1,1.350196242E0,9.716429710E0,9.810444018E0
5.518567180E-1,1.226056963E-1,1.335831761E0,9.721217155E0,9.813334889E0
5.542375520E-1,1.178174913E-1,1.378925562E0,9.711641312E0,9.809755024E0
5.566207290E-1,8.430013061E-2,1.354984522E0,9.687700272E0,9.782363013E0
5.590015100E-1,6.993553042E-2,1.369349122E0,9.716429710E0,9.812696587E0
5.613826040E-1,6.035912782E-2,1.340619922E0,9.740370750E0,9.832381571E0
5.637632810E-1,6.514734030E-2,1.354984522E0,9.692488670E0,9.786958867E0
5.661431250E-1,1.178174913E-1,1.383713722E0,9.673335075E0,9.772510225E0
5.685251040E-1,1.273939013E-1,1.378925562E0,9.697276115E0,9.795653575E0
5.709064580E-1,8.430013061E-2,1.364560843E0,9.745158195E0,9.840591500E0
5.732867710E-1,6.514734030E-2,1.369349122E0,9.697276115E0,9.793698242E0
5.756683850E-1,8.908830583E-2,1.354984522E0,9.658969879E0,9.753954014E0
5.780497390E-1,1.034529060E-1,1.364560843E0,9.663759232E0,9.760172708E0
5.804314580E-1,1.465466917E-1,1.340619922E0,9.706851959E0,9.800087381E0
5.828127080E-1,8.430013061E-2,1.354984522E0,9.730792999E0,9.825040558E0
5.851942710E-1,6.514734030E-2,1.331043482E0,9.730792999E0,9.821621726E0
5.875754680E-1,9.387651086E-2,1.388501883E0,9.678123474E0,9.777669674E0
5.899567710E-1,1.226056963E-1,1.359772801E0,9.658969879E0,9.754984026E0
5.923385410E-1,6.035912782E-2,1.369349122E0,9.702064514E0,9.798408854E0
5.947378640E-1,7.951192558E-2,1.335831761E0,9.706851959E0,9.798660296E0
5.971026560E-1,4.599453509E-2,1.383713722E0,9.678123474E0,9.776648359E0
5.994825520E-1,9.866471589E-2,1.354984522E0,9.668547630E0,9.763530666E0
6.018641660E-1,1.321820915E-1,1.359772801E0,9.716429710E0,9.812005936E0
6.042462500E-1,1.082411110E-1,1.354984522E0,9.730792999E0,9.825275141E0
6.066276040E-1,6.035912782E-2,1.345408201E0,9.745158195E0,9.837777935E0
