Cidade,UF,Capital,Área,Pop. 2010 (hab),Pop. 2019 (hab),Dens. demo. 2010 (hab/km2),Dens. demo. 2019 (hab/km2),IDHM 2010,PIB per capita 2017 (R$),Fundação
Anamã,Amazonas,não,2446.121,10175,13614,4.16,5.57,0.594,8330.15,10 de dezembro de 1981
Beruri,Amazonas,não,17472.779,15725,19679,0.90,1.13,0.506,7450.96,10 de dezembro de 1981
Iranduba,Amazonas,não,2216.817,40833,48296,18.42,21.79,0.613,14857.91,10 de dezembro de 1981
Presidente Figueiredo,Amazonas,não,25459.099,27241,36279,1.07,1.42,0.647,12865.72,10 de dezembro de 1985
São Sebastião do Uatumã,Amazonas,não,10647.463,10647,14020,1.00,1.32,0.577,7566.82,10 de dezembro de 1981
Tonantins,Amazonas,não,6446.894,17148,18755,2.66,2.91,0.548,6591.02,10 de dezembro de 1981
Uarini,Amazonas,não,10274.677,11918,13540,1.16,1.32,0.527,13881.45,10 de dezembro de 1981
Guajará,Amazonas,não,7583.534,13953,16678,1.84,2.2,0.532,7088.42,30 de dezembro de 1987
Careiro,Amazonas,não,6096.210,32736,37869,5.37,6.21,0.557,7283.11,19 de dezembro de 1955
Itamarati,Amazonas,não,25260.429,8083,7851,0.32,0.31,0.477,11536.94,10 de dezembro de 1981
Japurá,Amazonas,não,55827.203,7257,2755,0.13,0.05,0.522,14735.73,19 de dezembro de 1955
Juruá,Amazonas,não,19442.548,10887,14712,0.56,0.76,0.522,7145.78,19 de dezembro de 1955
Nova Olinda do Norte,Amazonas,não,5578.132,30512,37378,5.47,6.7,0.558,6427.28,19 de dezembro de 1955
Novo Airão,Amazonas,não,37776.770,14732,19454,0.39,0.51,0.570,7076.84,10 de dezembro de 1981
Novo Aripuanã,Amazonas,não,41179.656,21413,25644,0.52,0.62,0.554,7288.37,19 de dezembro de 1955
Tapauá,Amazonas,não,84946.035,17838,17156,0.21,0.2,0.502,18896.71,19 de dezembro de 1955
Caapiranga,Amazonas,não,9455.539,10968,13081,1.16,1.38,0.569,11101.73,28 de dezembro de 1981
Anori,Amazonas,não,6036.380,17022,21010,2.82,3.48,0.561,9549.01,29 de dezembro de 1956
Santa Isabel do Rio Negro,Amazonas,não,62800.078,18212,25156,0.29,0.4,0.479,5159.77,29 de dezembro de 1957
Apuí,Amazonas,não,54240.556,17899,21973,0.33,0.41,0.637,9037.65,30 de dezembro de 1987
Caetanos,Bahia,não,767.146,13509,14542,17.61,18.96,0.542,5046.44,
Pilão Arcado,Bahia,não,11597.923,32474,35048,2.80,3.02,0.506,6182.23,
Itiúba,Bahia,não,1650.593,34596,36089,20.96,21.86,0.544,6920.46,
Itacaré,Bahia,não,726.265,23937,28296,32.96,38.96,0.583,9333.22,
Iramaia,Bahia,não,1708.115,10521,8537,6.16,5.0,0.571,7763.96,
Jiquiriçá,Bahia,não,238.602,14070,14537,58.97,60.93,0.553,6922.85,
Aratuípe,Bahia,não,174.012,8260,8825,47.47,50.71,0.575,7017.34,
Pindaí,Bahia,não,628.468,15994,16260,25.45,25.87,0.603,10961.05,
Ibitiara,Bahia,não,1834.002,15387,16339,8.39,8.91,0.585,5763.34,
Lafaiete Coutinho,Bahia,não,498.110,4791,3724,9.62,7.48,0.599,9532.25,
Abaíra,Bahia,não,538.677,8446,8739,15.68,16.22,0.603,6353.73,
Belo Campo,Bahia,não,772.756,19682,17211,25.47,22.27,0.575,7046.03,
São Desidério,Bahia,não,15156.712,27585,33742,1.82,2.23,0.579,69979.13,
Adustina,Bahia,não,629.099,15626,17040,24.84,27.09,0.546,6941.27,
Araçás,Bahia,não,474.577,11261,12177,23.73,25.66,0.570,11007.95,
Banzaê,Bahia,não,409.507,21261,13229,51.92,32.3,0.579,6595.82,
Caraíbas,Bahia,não,805.629,10223,8951,12.69,11.11,0.555,6900.62,
Feira da Mata,Bahia,não,1176.111,4445,5665,3.78,4.82,0.588,7722.45,
Igrapiúna,Bahia,não,591.312,14966,13226,25.31,22.37,0.574,11017.38,
Itaguaçu da Bahia,Bahia,não,4310.238,12801,14429,2.97,3.35,0.562,6603.64,
Iuiu,Bahia,não,1525.141,11194,10994,7.34,7.21,0.591,7813.69,
Jucuruçu,Bahia,não,1457.656,10291,9126,7.06,6.26,0.541,9576.40,
Nova Redenção,Bahia,não,565.356,10538,9118,18.64,16.13,0.567,5605.27,
Novo Triunfo,Bahia,não,278.487,16678,15440,59.89,55.44,0.554,3285.04,
Piraí do Norte,Bahia,não,193.427,10120,10023,52.32,51.82,0.533,7353.11,
Ponto Novo,Bahia,não,530.144,16779,14914,31.65,28.13,0.580,7097.62,
Presidente Tancredo Neves,Bahia,não,441.820,25254,27719,57.16,62.74,0.559,8407.72,
Sítio do Mato,Bahia,não,1627.806,11199,13012,6.88,7.99,0.564,6704.29,
Sobradinho,Bahia,não,1355.972,24082,23191,17.76,17.1,0.631,20710.10,
Umburanas,Bahia,não,1775.633,18075,19222,10.18,10.83,0.515,6043.99,
Vereda,Bahia,não,782.159,6085,6205,7.78,7.93,0.577,10829.05,
América Dourada,Bahia,não,822.373,15666,16094,19.05,19.57,0.561,6621.81,
Dias d'Ávila,Bahia,não,183.759,66270,81089,360.64,441.28,0.676,37896.15,
Guajeru,Bahia,não,872.867,9706,6937,11.12,7.95,0.569,6375.15,
Mansidão,Bahia,não,3129.588,12393,13643,3.96,4.36,0.599,5125.40,
São Gabriel,Bahia,não,1146.054,17603,18793,15.36,16.4,0.592,5590.49,
Tanque Novo,Bahia,não,729.516,16275,17366,22.31,23.8,0.599,8659.52,
Várzea da Roça,Bahia,não,468.407,12567,14104,26.83,30.11,0.539,6120.40,
Várzea Nova,Bahia,não,1225.892,13435,12697,10.96,10.36,0.555,8876.35,
Wanderley,Bahia,não,2920.579,12324,12238,4.22,4.19,0.600,9452.11,
Canudos,Bahia,não,3565.377,17434,16668,4.89,4.67,0.562,7478.81,
Mundo Novo,Bahia,não,1491.994,24379,26776,16.34,17.95,0.590,5764.78,
Ribeirão do Largo,Bahia,não,1363.700,9232,5812,6.77,4.26,0.540,10519.25,
Pindobaçu,Bahia,não,495.845,20101,20150,40.54,40.64,0.577,6228.47,
Cachoeira,Bahia,não,394.894,31998,33470,81.03,84.76,0.647,14062.73,
Santo Amaro,Bahia,não,494.502,57985,60069,117.26,121.47,0.646,12646.76,
Governador Mangabeira,Bahia,não,106.848,19916,20722,186.40,193.94,0.643,8989.94,
Almadina,Bahia,não,245.236,6209,5464,25.32,22.28,0.563,8661.17,
Quijingue,Bahia,não,1380.798,28002,27580,20.28,19.97,0.544,6497.08,
Gavião,Bahia,não,384.592,4742,4463,12.33,11.6,0.599,8101.03,
Pé de Serra,Bahia,não,596.771,13319,13578,22.32,22.75,0.587,6678.40,
Monte Santo,Bahia,não,3034.197,49851,49418,16.43,16.29,0.506,6276.89,
Tucano,Bahia,não,2198.237,41172,50687,18.73,23.06,0.579,8449.29,
Botuporã,Bahia,não,627.612,10845,10211,17.28,16.27,0.575,8492.97,
Itaberaba,Bahia,não,2386.390,62762,64489,26.30,27.02,0.620,12990.37,
Santa Rita de Cássia,Bahia,não,6030.491,26473,28338,4.39,4.7,0.605,7432.29,
Ouriçangas,Bahia,não,156.982,8400,8564,53.51,54.55,0.607,5763.10,
Salvador,Bahia,sim,693.453,2676340,2872347,3859.44,4142.09,0.759,21231.48,
Barrocas,Bahia,não,207.297,14637,15978,70.61,77.08,0.610,13548.37,
Correntina,Bahia,não,11504.314,30141,32137,2.62,2.79,0.603,37915.24,
Luís Eduardo Magalhães,Bahia,não,4036.094,61550,87519,15.25,21.68,0.716,57502.42,
São Francisco do Conde,Bahia,não,269.715,34048,39802,126.24,147.57,0.674,253895.58,
Caatiba,Bahia,não,512.436,11345,6758,22.14,13.19,0.561,7723.21,
Fátima,Bahia,não,364.419,17900,17890,49.12,49.09,0.559,9754.03,
Itarantim,Bahia,não,1674.029,17192,19747,10.27,11.8,0.610,12392.98,
Entre Rios,Bahia,não,1187.766,38970,41780,32.81,35.18,0.615,11245.18,
Dom Macedo Costa,Bahia,não,94.778,4331,4058,45.70,42.82,0.632,7426.72,
